id,deal_name,owner_code,client_code,deal_status,close_date,closure_probability,probability_weight,deal_value,weighted_value,tentative_close_date,deal_stage,product_deal,sector,created_date
DEAL-0025,Sakura,OWNER_003,COMPANY111,Open,,Medium,0.5,5235907.32,2617953.66,2026-01-15,B. Sales Qualified Leads,Pure Service,Railways,2025-11-17
DEAL-0026,Sakura,OWNER_001,COMPANY169,Open,,High,0.8,14680800.0,11744640.0,2026-01-31,D. Feasibility,Service + Spectra,Renewables,2025-11-17
DEAL-0027,Sakura,OWNER_001,COMPANY183,Open,,High,0.8,89308.2,71446.56,2025-11-19,F. Negotiations,Pure Service,Mining,2025-11-17
DEAL-0028,Sakura,OWNER_003,COMPANY009,Open,,Low,0.2,2446800.0,489360.0,2026-02-15,E. Proposal/Commercials Sent,Pure Service,Renewables,2025-11-18
DEAL-0029,Sakura,OWNER_003,COMPANY052,Open,,Medium,0.5,1223400.0,611700.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18
DEAL-0030,Sakura,OWNER_003,COMPANY108,Open,,Medium,0.5,1223400.0,611700.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18
DEAL-0031,Kakashi,OWNER_003,COMPANY021,Open,,Low,0.2,1223400.0,244680.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18
DEAL-0032,Goku,OWNER_003,COMPANY067,Open,,Medium,0.5,2018605.106,1009302.553,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-11-18
DEAL-0033,Goku,OWNER_003,COMPANY043,Open,,Low,0.2,1223400.0,244680.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Mining,2025-11-18
DEAL-0034,Luffy,OWNER_003,COMPANY093,Open,,High,0.8,122340000.0,97872000.0,2026-02-28,F. Negotiations,Service + Spectra,Tender,2025-11-18
DEAL-0035,Zoro,OWNER_003,COMPANY067,Open,,Medium,0.5,3058500.0,1529250.0,2026-01-15,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18
DEAL-0036,Nami,OWNER_004,COMPANY110,Open,,Low,0.2,91755000.0,18351000.0,2026-01-15,E. Proposal/Commercials Sent,Service + Spectra,Tender,2025-11-19
DEAL-0037,Sanji,OWNER_003,COMPANY048,Open,,Medium,0.5,7340400.0,3670200.0,2026-02-15,F. Negotiations,Dock + DMO,Security & Surveillance,2025-11-19
DEAL-0038,Sanji,OWNER_002,COMPANY124,Open,,Medium,0.5,12019562.45,6009781.225,2026-01-30,E. Proposal/Commercials Sent,Services,Tender,2025-11-20
DEAL-0039,Rukia,OWNER_001,COMPANY087,Open,,High,0.8,3058500.0,2446800.0,2026-04-01,C. Demo Done,Service + Spectra,Renewables,2025-11-26
DEAL-0040,Rukia,OWNER_001,COMPANY095,Open,,High,0.8,1835100.0,1468080.0,2026-02-10,C. Demo Done,Service + Spectra,Renewables,2025-11-26
DEAL-0041,Light Yagami,OWNER_003,COMPANY007,Open,,Medium,0.5,6117000.0,3058500.0,2026-03-31,E. Proposal/Commercials Sent,Spectra Deal,Mining,2025-12-01
DEAL-0042,Light Yagami,OWNER_003,COMPANY067,Open,,Medium,0.5,7340400.0,3670200.0,2026-02-28,F. Negotiations,Pure Service,Railways,2025-12-08
DEAL-0043,Eren Yeager,OWNER_003,COMPANY068,Open,,Medium,0.5,5872320.0,2936160.0,2026-01-31,F. Negotiations,Pure Service,Railways,2025-12-08
DEAL-0044,Mikasa,OWNER_001,COMPANY050,Open,,Low,0.2,611696.3298,122339.26595999999,2025-12-15,F. Negotiations,Pure Service,Renewables,2025-12-08
DEAL-0045,Levi,OWNER_003,COMPANY051,Open,,High,0.8,841699.2,673359.36,2026-01-15,F. Negotiations,Pure Service,Railways,2025-12-08
DEAL-0046,Tanjiro,OWNER_003,COMPANY161,Open,,High,0.8,489360.0,391488.0,2026-01-31,F. Negotiations,Pure Service,Railways,2026-01-08
DEAL-0047,Tanjiro,OWNER_003,COMPANY186,Open,,High,0.8,489360.0,391488.0,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Mining,2026-01-08
DEAL-0048,Tanjiro,OWNER_001,COMPANY038,Open,,Medium,0.5,0.0,0.0,,A. Lead Generated,Services,Others,2026-01-08
DEAL-0049,Tanjiro,OWNER_001,COMPANY039,Open,,High,0.8,2079780.0,1663824.0,2026-01-13,A. Lead Generated,Services,Others,2026-01-08
DEAL-0050,Tanjiro,OWNER_001,COMPANY136,Open,,High,0.8,1468080.0,1174464.0,2026-01-31,A. Lead Generated,Services,Others,2026-01-08
DEAL-0051,Nezuko,Unassigned,Unknown Client,Deal Status,Close Date (A),Closure Probability,0.5,0.0,0.0,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date
DEAL-0052,Zenitsu,OWNER_003,COMPANY190,Dead,,Medium,0.5,0.0,0.0,2024-10-31,N. Not relevant at the moment,Pure Service,Others,2024-09-12
DEAL-0053,Inosuke,OWNER_003,COMPANY186,Dead,,Medium,0.5,0.0,0.0,2024-10-31,N. Not relevant at the moment,Pure Service,Others,2024-09-12
DEAL-0054,Gojo,OWNER_005,COMPANY101,Dead,,Medium,0.5,13457400.0,6728700.0,2025-06-30,E. Proposal/Commercials Sent,Services,Railways,2025-06-01
DEAL-0055,Yuji Itadori,Unassigned,COMPANY172,Dead,,Medium,0.5,0.0,0.0,2025-06-19,L. Project Lost,Services,Mining,2024-08-09
DEAL-0056,Yuji Itadori,Unassigned,COMPANY172,Dead,,Medium,0.5,0.0,0.0,2025-06-19,L. Project Lost,Services,Mining,2024-08-16
DEAL-0057,Yuji Itadori,OWNER_006,COMPANY118,Dead,,Medium,0.5,0.0,0.0,2025-05-31,L. Project Lost,Services,Construction,2025-04-25
DEAL-0058,Yuji Itadori,OWNER_002,COMPANY148,Dead,,Medium,0.5,34866900.0,17433450.0,2025-05-31,O. Not Relevant at all,Services,Powerline,2025-04-25
DEAL-0059,Megumi,OWNER_002,COMPANY070,Dead,,Medium,0.5,97872.0,48936.0,2025-05-31,N. Not relevant at the moment,Services,Powerline,2025-04-25
DEAL-0060,Nobara,OWNER_006,COMPANY146,Dead,,Medium,0.5,0.0,0.0,2025-06-23,L. Project Lost,Services,Renewables,2025-04-30
DEAL-0061,Saitama,OWNER_006,COMPANY014,Dead,,Medium,0.5,0.0,0.0,2025-05-31,C. Demo Done,Services,Powerline,2025-04-30
DEAL-0062,Genos,OWNER_002,COMPANY168,Dead,,Medium,0.5,53217.9,26608.95,2025-06-30,N. Not relevant at the moment,Services,Powerline,2025-05-05
DEAL-0063,Finn the Human,Unassigned,COMPANY186,Dead,,Medium,0.5,0.0,0.0,2024-11-25,J. Invoice sent,Services,Mining,2024-08-16
DEAL-0064,Edward Elric,OWNER_002,COMPANY179,Dead,,Medium,0.5,0.0,0.0,2025-06-23,L. Project Lost,Services,Powerline,2025-05-05
DEAL-0065,Alphonse,OWNER_007,COMPANY078,Dead,,Medium,0.5,0.0,0.0,2024-09-30,C. Demo Done,Services,Railways,2024-08-16
DEAL-0066,Alphonse,OWNER_003,COMPANY058,Dead,,Medium,0.5,244680.0,122340.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19
DEAL-0067,Alphonse,OWNER_003,COMPANY143,Dead,,Medium,0.5,611700.0,305850.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19
DEAL-0068,Alphonse,OWNER_003,COMPANY071,Dead,,Medium,0.5,489360.0,244680.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19
DEAL-0069,Alphonse,OWNER_003,COMPANY063,Dead,,Medium,0.5,256914000.0,128457000.0,2025-05-13,M. Projects On Hold,Pure Service,Mining,2024-08-19
DEAL-0070,Alphonse,OWNER_003,COMPANY045,Dead,,Medium,0.5,6117000.0,3058500.0,2025-05-13,M. Projects On Hold,Pure Service,Others,2024-08-21
DEAL-0071,Alphonse,OWNER_003,COMPANY120,Dead,,Medium,0.5,0.0,0.0,2025-05-13,M. Projects On Hold,Pure Service,Mining,2024-08-19
DEAL-0072,Alphonse,OWNER_003,COMPANY074,Dead,,Medium,0.5,0.0,0.0,2025-05-13,M. Projects On Hold,Pure Service,Others,2024-08-22
DEAL-0073,Alphonse,OWNER_006,COMPANY005,Dead,,Medium,0.5,0.0,0.0,2024-09-30,C. Demo Done,Services,Construction,2024-08-22
DEAL-0074,Alphonse,OWNER_003,COMPANY115,Dead,,Medium,0.5,0.0,0.0,2024-09-30,N. Not relevant at the moment,Pure Service,Renewables,2024-08-27
DEAL-0075,Alphonse,OWNER_003,COMPANY080,Dead,,Medium,0.5,0.0,0.0,2024-09-30,N. Not relevant at the moment,Pure Service,Others,2024-08-30
DEAL-0076,Alphonse,OWNER_003,COMPANY057,Dead,,Medium,0.5,807444.0,403722.0,2024-11-13,O. Not Relevant at all,Pure Service,Renewables,2024-09-12
DEAL-0077,Alphonse,OWNER_003,COMPANY148,Dead,,Medium,0.5,0.0,0.0,2024-10-31,N. Not relevant at the moment,Pure Service,Renewables,2024-09-16
DEAL-0078,Alphonse,OWNER_006,COMPANY078,Dead,,Medium,0.5,0.0,0.0,2024-11-18,L. Project Lost,Services,Railways,2024-09-20
DEAL-0079,Alphonse,OWNER_006,COMPANY112,Dead,,Medium,0.5,0.0,0.0,2024-10-31,N. Not relevant at the moment,Services,Others,2024-09-20
DEAL-0080,Alphonse,OWNER_003,COMPANY071,Dead,,Medium,0.5,489360.0,244680.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-09-20
DEAL-0081,Alphonse,OWNER_003,COMPANY133,Dead,,Medium,0.5,0.0,0.0,2025-05-13,M. Projects On Hold,Pure Service,Renewables,2024-09-20
DEAL-0082,Alphonse,OWNER_003,COMPANY194,Dead,,Medium,0.5,0.0,0.0,2024-10-31,N. Not relevant at the moment,Pure Service,Construction,2024-09-20
DEAL-0083,Alphonse,OWNER_006,COMPANY142,Dead,,Medium,0.5,0.0,0.0,2024-11-08,L. Project Lost,Services,Others,2024-10-07
DEAL-0084,Spike Spiegel,OWNER_006,COMPANY169,Dead,,Medium,0.5,0.0,0.0,2025-06-23,L. Project Lost,Services,Powerline,2024-10-07
DEAL-0085,Faye Valentine,Unassigned,COMPANY186,Dead,,Medium,0.5,0.0,0.0,2024-11-30,C. Demo Done,Services,Mining,2024-10-08
DEAL-0086,Kenshin,Unassigned,COMPANY186,Dead,,Medium,0.5,0.0,0.0,2024-11-16,J. Invoice sent,Services,Mining,2024-11-01
DEAL-0087,Rei,Unassigned,COMPANY172,Dead,,Medium,0.5,0.0,0.0,2024-12-31,E. Proposal/Commercials Sent,Services,Others,2024-11-02
DEAL-0088,Jake the Dog,Unassigned,COMPANY017,Dead,,Medium,0.5,0.0,0.0,2024-12-31,E. Proposal/Commercials Sent,Services,Renewables,2024-11-05
DEAL-0089,Piccolo,OWNER_001,COMPANY085,Dead,,Medium,0.5,0.0,0.0,2025-06-23,M. Projects On Hold,Services,Mining,2024-11-17
DEAL-0090,Totoro,OWNER_003,COMPANY121,Dead,,Medium,0.5,17739300.0,8869650.0,2025-05-13,L. Project Lost,Pure Service,Mining,2024-11-17
DEAL-0091,Chihiro,OWNER_003,COMPANY116,Dead,,Medium,0.5,1223400.0,611700.0,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-17
DEAL-0092,Howl,OWNER_003,COMPANY025,Dead,,Medium,0.5,244680.0,122340.0,2025-01-14,L. Project Lost,Pure Service,Others,2024-11-17
DEAL-0093,Kiki,OWNER_003,COMPANY133,Dead,,Medium,0.5,244680.0,122340.0,2025-05-13,M. Projects On Hold,Pure Service,Renewables,2024-11-17
DEAL-0094,Monkey D. Dragon,OWNER_001,COMPANY120,Dead,,Medium,0.5,0.0,0.0,2025-01-17,L. Project Lost,Services,Renewables,2024-11-17
DEAL-0095,Shanks,OWNER_003,COMPANY175,Dead,,Medium,0.5,305850.0,152925.0,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-17
DEAL-0096,Shanks,OWNER_003,COMPANY058,Dead,,Medium,0.5,305850.0,152925.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-11-17
DEAL-0097,Pain,OWNER_006,COMPANY020,Dead,,Medium,0.5,0.0,0.0,2024-12-27,L. Project Lost,Services,Others,2024-11-17
DEAL-0098,Ace,OWNER_006,COMPANY122,Dead,,Medium,0.5,0.0,0.0,2024-12-13,L. Project Lost,Services,Renewables,2024-11-18
DEAL-0099,Gaara,OWNER_006,COMPANY122,Dead,,Medium,0.5,0.0,0.0,2025-06-22,L. Project Lost,Services,Renewables,2024-11-18
DEAL-0100,Itachi,OWNER_003,COMPANY157,Dead,,Medium,0.5,21409500.0,10704750.0,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-19
DEAL-0101,Itachi,Unassigned,COMPANY016,Dead,,Medium,0.5,0.0,0.0,2024-12-31,B. Sales Qualified Leads,Services,Renewables,2024-11-21
DEAL-0102,Itachi,Unassigned,COMPANY172,Dead,,Medium,0.5,0.0,0.0,2025-01-31,B. Sales Qualified Leads,Services,Mining,2024-12-04
DEAL-0103,Itachi,Unassigned,COMPANY018,Dead,,Medium,0.5,0.0,0.0,2024-12-20,J. Invoice sent,Services,Others,2024-12-12
DEAL-0104,Kaguya,OWNER_006,COMPANY150,Dead,,Medium,0.5,0.0,0.0,2025-01-31,L. Project Lost,Services,Renewables,2024-12-27
DEAL-0105,Kaguya,OWNER_006,COMPANY128,Dead,,Medium,0.5,0.0,0.0,2025-01-23,J. Invoice sent,Services,Mining,2025-01-03
DEAL-0106,Bulma,OWNER_003,COMPANY072,Dead,,Medium,0.5,4037220.0,2018610.0,2025-07-04,L. Project Lost,Pure Service,Mining,2025-01-14
DEAL-0107,Trunks,OWNER_003,COMPANY038,Dead,,Medium,0.5,489360.0,244680.0,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
DEAL-0108,Trunks,OWNER_003,COMPANY038,Dead,,Medium,0.5,367020.0,183510.0,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
DEAL-0109,Killua,OWNER_003,COMPANY038,Dead,,Medium,0.5,367020.0,183510.0,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
DEAL-0110,Gon,OWNER_003,COMPANY038,Dead,,Medium,0.5,397605.0,198802.5,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
DEAL-0111,Kurapika,OWNER_001,COMPANY182,Dead,,Medium,0.5,0.0,0.0,2025-02-28,J. Invoice sent,Services,Mining,2025-01-17
DEAL-0112,Hisoka,OWNER_003,COMPANY185,Dead,,Medium,0.5,0.0,0.0,2025-02-28,N. Not relevant at the moment,Pure Service,Others,2025-01-21
DEAL-0113,Sailor Moon,OWNER_003,COMPANY196,Dead,,Medium,0.5,0.0,0.0,2025-03-27,L. Project Lost,Pure Service,Mining,2025-01-29
DEAL-0114,Sailor Moon,OWNER_006,COMPANY162,Dead,,Medium,0.5,0.0,0.0,2025-02-24,L. Project Lost,Services,Others,2025-02-19
DEAL-0115,Sailor Moon,OWNER_006,COMPANY160,Dead,,Medium,0.5,0.0,0.0,,N. Not relevant at the moment,Services,Mining,2025-03-11
DEAL-0116,Sailor Moon,OWNER_006,COMPANY146,Dead,,Medium,0.5,0.0,0.0,2025-06-22,M. Projects On Hold,Services,Renewables,2025-03-27
DEAL-0117,Inuyasha,OWNER_002,COMPANY125,Dead,,Medium,0.5,2849787.96,1424893.98,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13
DEAL-0118,Sesshomaru,OWNER_002,COMPANY125,Dead,,Medium,0.5,3988803.945,1994401.9725,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13
DEAL-0119,Sesshomaru,OWNER_002,COMPANY125,Dead,,Medium,0.5,3383159.775,1691579.8875,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13
DEAL-0120,Sesshomaru,OWNER_003,COMPANY154,Dead,,Medium,0.5,3058500.0,1529250.0,2025-07-04,I. POC,Pure Service,Mining,2025-05-13
DEAL-0121,Kirito,OWNER_003,COMPANY186,Dead,,Medium,0.5,0.0,0.0,2025-09-15,M. Projects On Hold,Pure Service,Mining,2025-05-14
DEAL-0122,Asuna,OWNER_003,COMPANY005,Dead,,Medium,0.5,0.0,0.0,2025-07-04,L. Project Lost,Pure Service,Construction,2025-05-14
DEAL-0123,Rem,OWNER_003,COMPANY199,Dead,,Medium,0.5,0.0,0.0,2025-09-15,M. Projects On Hold,Pure Service,Renewables,2025-05-14
DEAL-0124,Emilia,OWNER_003,COMPANY071,Dead,,Medium,0.5,550530.0,275265.0,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-14
DEAL-0125,Subaru,OWNER_003,COMPANY027,Dead,,Medium,0.5,0.0,0.0,2025-06-30,O. Not Relevant at all,Pure Service,Railways,2025-05-14
DEAL-0126,Subaru,OWNER_003,COMPANY186,Dead,,Medium,0.5,0.0,0.0,2025-06-30,O. Not Relevant at all,Pure Service,Mining,2025-05-14
DEAL-0127,Subaru,OWNER_003,COMPANY101,Dead,,Medium,0.5,3670200.0,1835100.0,2025-07-04,I. POC,Pure Service,Railways,2025-05-14
DEAL-0128,Subaru,OWNER_003,COMPANY066,Dead,,Medium,0.5,0.0,0.0,2025-06-30,O. Not Relevant at all,Pure Service,Railways,2025-05-14
DEAL-0129,Subaru,OWNER_003,COMPANY198,Dead,,Medium,0.5,0.0,0.0,2025-07-04,L. Project Lost,Pure Service,Others,2025-05-14
DEAL-0130,Subaru,OWNER_003,COMPANY176,Dead,,Medium,0.5,0.0,0.0,2025-06-30,N. Not relevant at the moment,Pure Service,Renewables,2025-05-14
DEAL-0131,Subaru,OWNER_003,COMPANY145,Dead,,Medium,0.5,54441300.0,27220650.0,2025-07-28,L. Project Lost,Pure Service,Renewables,2025-05-14
DEAL-0132,Subaru,OWNER_003,COMPANY058,Dead,,Medium,0.5,305850.0,152925.0,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-14
DEAL-0133,Subaru,OWNER_003,COMPANY155,Dead,,Medium,0.5,0.0,0.0,2025-06-30,N. Not relevant at the moment,Pure Service,Others,2025-05-14
DEAL-0134,Kaneki,OWNER_003,COMPANY133,Dead,,Medium,0.5,550530.0,275265.0,2025-07-28,M. Projects On Hold,Pure Service,Renewables,2025-05-14
DEAL-0135,Inosuke,OWNER_003,COMPANY018,Dead,,Medium,0.5,550530.0,275265.0,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-15
DEAL-0136,Touka,OWNER_003,COMPANY114,Dead,,Medium,0.5,0.0,0.0,2025-06-30,O. Not Relevant at all,Pure Service,Renewables,2025-05-15
DEAL-0137,Jotaro,OWNER_001,COMPANY073,Dead,,Medium,0.5,0.0,0.0,2024-11-17,L. Project Lost,Services,Mining,2024-08-09
DEAL-0138,Dio,OWNER_006,COMPANY167,Dead,,Medium,0.5,0.0,0.0,2025-06-23,L. Project Lost,Services,Others,2024-08-12
DEAL-0139,Josuke,OWNER_006,COMPANY122,Dead,,Medium,0.5,0.0,0.0,2024-11-18,L. Project Lost,Services,Renewables,2024-08-16
DEAL-0140,Josuke,OWNER_003,COMPANY075,Dead,,Medium,0.5,0.0,0.0,2024-09-30,N. Not relevant at the moment,Pure Service,Others,2024-08-09
DEAL-0141,Giorno,OWNER_002,COMPANY098,Dead,,Medium,0.5,751473450.0,375736725.0,2025-05-29,L. Project Lost,Services,Powerline,2025-05-20
DEAL-0142,Armin,OWNER_006,COMPANY065,Dead,,Medium,0.5,0.0,0.0,2025-06-30,B. Sales Qualified Leads,Services,Renewables,2025-05-27
DEAL-0143,Erwin,OWNER_003,COMPANY200,Dead,,Medium,0.5,0.0,0.0,2025-07-04,L. Project Lost,Pure Service,Renewables,2025-05-27
DEAL-0144,Shoto Todoroki,OWNER_002,COMPANY148,Dead,,Medium,0.5,0.0,0.0,2025-07-31,O. Not Relevant at all,Services,Powerline,2025-06-10
DEAL-0145,Deku,OWNER_003,COMPANY191,Dead,,Medium,0.5,0.0,0.0,2025-07-31,O. Not Relevant at all,Pure Service,Renewables,2025-06-11
DEAL-0146,Erwin,OWNER_003,COMPANY152,Dead,,Medium,0.5,1223400.0,611700.0,2025-07-31,O. Not Relevant at all,Pure Service,Renewables,2025-06-11
DEAL-0147,Erwin,OWNER_003,COMPANY034,Dead,,Medium,0.5,0.0,0.0,2025-07-31,O. Not Relevant at all,Pure Service,Others,2025-06-19
DEAL-0148,Erwin,OWNER_006,COMPANY181,Dead,,Medium,0.5,0.0,0.0,2025-07-31,I. POC,Services,Renewables,2025-06-24
DEAL-0149,Erwin,OWNER_006,COMPANY023,Dead,,Medium,0.5,0.0,0.0,2025-07-31,E. Proposal/Commercials Sent,Services,Renewables,2025-06-24
DEAL-0150,Erwin,OWNER_006,COMPANY128,Dead,,Medium,0.5,0.0,0.0,2025-08-31,C. Demo Done,Services,Mining,2025-07-01
DEAL-0151,Rimuru,OWNER_003,COMPANY133,Dead,,Medium,0.5,244680.0,122340.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
DEAL-0152,Mugen,OWNER_003,COMPANY133,Dead,,Medium,0.5,305850.0,152925.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
DEAL-0153,Shinra,OWNER_003,COMPANY030,Dead,,Medium,0.5,367020.0,183510.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
DEAL-0154,Rengoku,OWNER_003,COMPANY082,Dead,,Medium,0.5,367020.0,183510.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
DEAL-0155,Rengoku,OWNER_003,COMPANY007,Dead,,Medium,0.5,550530.0,275265.0,2025-08-31,M. Projects On Hold,Pure Service,Renewables,2025-07-28
DEAL-0156,Madara,OWNER_003,COMPANY006,Dead,,Medium,0.5,2569140.0,1284570.0,2025-08-31,E. Proposal/Commercials Sent,Pure Service,Renewables,2025-07-28
DEAL-0157,Obito,OWNER_003,COMPANY053,Dead,,Medium,0.5,0.0,0.0,2025-09-15,M. Projects On Hold,Pure Service,Renewables,2025-07-28
DEAL-0158,Obito,OWNER_003,COMPANY174,Dead,,Medium,0.5,0.0,0.0,2025-08-31,M. Projects On Hold,Pure Service,Renewables,2025-07-28
DEAL-0159,Akaza,OWNER_003,COMPANY158,Dead,,Medium,0.5,0.0,0.0,2025-08-31,O. Not Relevant at all,Pure Service,Mining,2025-07-28
DEAL-0160,Cell,OWNER_003,COMPANY007,Dead,,Medium,0.5,97872000.0,48936000.0,2025-08-31,L. Project Lost,Pure Service,Mining,2025-07-28
DEAL-0161,Frieza,OWNER_003,COMPANY008,Dead,,Medium,0.5,0.0,0.0,2025-08-31,O. Not Relevant at all,Pure Service,Renewables,2025-07-28
DEAL-0162,Frieza,OWNER_003,COMPANY081,Dead,,Medium,0.5,176169600.0,88084800.0,2025-08-31,O. Not Relevant at all,Pure Service,Aviation,2025-07-28
DEAL-0163,Beerus,OWNER_002,COMPANY079,Dead,,Medium,0.5,0.0,0.0,2025-08-31,N. Not relevant at the moment,Services,Renewables,2025-07-29
DEAL-0164,Whis,OWNER_002,COMPANY124,Dead,,Medium,0.5,0.0,0.0,2025-09-30,O. Not Relevant at all,Services,Powerline,2025-08-11
DEAL-0165,Gohan,Unassigned,COMPANY195,Dead,,Medium,0.5,0.0,0.0,2025-09-30,D. Feasibility,Services,Mining,2025-08-25
